listing_id,city,neighbourhood_cleansed,property_type,room_type,accommodates,bedrooms,beds,price,minimum_nights,availability_365,availability_rate,avg_min_nights,avg_max_nights,number_of_reviews,review_scores_rating,review_scores_location,review_scores_value,host_is_superhost,instant_bookable,estimated_occupancy_l365d,estimated_revenue_l365d,amenities_count
683703180206343843,twin_cities,Hennepin,Private room in rental unit,private room,2,1,1,72,2,85,0.2328767123287671,2,1125,15,4.53,3.87,4.47,f,t,6,432,41
1050026336429682918,twin_cities,Scott,Entire home,entire home/apt,9,4,4,230,2,212,0.5808219178082191,1.9945205479452055,1125,88,5,5,4.97,t,f,255,58650,78
1103876371566488784,twin_cities,Ramsey,Private room in home,private room,2,1,1,44,1,73,0.2,1,90,27,4.89,4.78,4.93,t,f,132,5808,34
1216690775512781227,twin_cities,Pierce,Entire cottage,entire home/apt,6,2,4,152,2,308,0.8438356164383561,2.021917808219178,1125,17,4.65,4.41,4.71,f,t,66,10032,46
895195572206403376,twin_cities,Hennepin,Entire home,entire home/apt,8,3,6,400,2,274,0.7506849315068493,2.7753424657534245,350.958904109589,51,5,4.94,4.94,t,t,72,28800,84
1128386497694072210,twin_cities,Ramsey,Entire rental unit,entire home/apt,2,1,0,79,42,58,0.1589041095890411,42,365,1,5,5,5,f,f,84,6636,46
1204195407711054267,twin_cities,Ramsey,Entire rental unit,entire home/apt,4,1,2,82,3,247,0.6767123287671233,3,1125,21,4.48,4.38,4.38,f,t,96,7872,44
1208955630136310370,twin_cities,Washington,Entire home,entire home/apt,8,4,3,332,2,235,0.6438356164383562,2,14,30,4.97,4.9,4.93,t,f,150,49800,57
1328754004935570749,twin_cities,Washington,Entire home,entire home/apt,5,3,4,180,10,84,0.23013698630136986,10,365,0,null,null,null,f,f,0,0,41
20387243,twin_cities,Wright,Entire bungalow,entire home/apt,6,3,4,215,3,266,0.7287671232876712,3,360,88,4.91,4.94,4.84,t,f,72,15480,61
699196003695152991,twin_cities,Hennepin,Private room in home,private room,2,1,1,58,1,136,0.3726027397260274,1,5,180,4.85,4.87,4.87,f,f,255,14790,33
