listing_id,city,neighborhood,room_type,price,median_neighborhood_price,price_gap_pct,occupancy_rate,occupancy_rank_percentile,amenity_score,review_rank_percentile,competitive_score,peak_month,peak_occupancy_rate
1501454777249948669,chicago,Near North Side,entire home/apt,163,219,-25.57,0.8667,89.38,10.99,0,43.29,12,0.4097
47334435,chicago,Lake View,entire home/apt,297,181,64.09,0.7111,75.48,67.9,79.57,51.96,8,0.5277
966148804844532645,chicago,Loop,entire home/apt,198,206,-3.88,0.1222,14.86,80.68,64.14,55.34,12,0.3986
1369733738577166114,chicago,West Town,entire home/apt,214,168,27.38,0.6,67.75,62.79,33.33,44.37,8,0.4327
761071522423068825,chicago,Rogers Park,entire home/apt,119,115,3.48,0.3556,41.91,67.11,16.58,43.26,8,0.4761
48326302,chicago,West Town,entire home/apt,208,168,23.81,0.4222,51.81,74.42,80.93,57.06,8,0.4327
1442826719672159032,chicago,Irving Park,private room,58,53,9.43,0.7556,80.05,57.89,0,42.65,8,0.4571
44234840,chicago,Near South Side,entire home/apt,322,209,54.07,0.3667,56.2,81.01,98.19,56.04,12,0.3777
751937736968700082,chicago,Loop,entire home/apt,182,206,-11.65,0.7,73.99,34.09,0,41.82,12,0.3986
32934782,chicago,Near North Side,entire home/apt,318,219,45.21,0.9667,96.87,82.42,94.23,64.97,12,0.4097
1233307324788620410,chicago,Near North Side,private room,72,188,-61.7,0.0556,7.79,26.79,39.71,48.18,12,0.4097
15643384,chicago,Lake View,entire home/apt,83,181,-54.14,0.8667,88.43,32.1,16.82,59.92,8,0.5277
1319976735866847631,chicago,Irving Park,entire home/apt,164,130,26.15,0.3111,39.33,59.72,46.54,41.59,8,0.4571
1492270844314135945,chicago,Lake View,entire home/apt,120,181,-33.7,0.6556,70.67,45.68,0,50.66,8,0.5277
41455518,chicago,Avondale,entire home/apt,114,126,-9.52,0.4333,50.43,52.94,88.02,63.18,8,0.4818
8953380,chicago,Lake View,private room,139,93,49.46,0.2444,30.03,43.21,87.37,38.81,8,0.5277
1304606690862941297,chicago,Near North Side,entire home/apt,182,219,-16.89,0.1222,16.22,29.67,75.55,49.62,12,0.4097
899544156282323531,chicago,Uptown,entire home/apt,162,123,31.71,0.3889,47.59,77.78,64.04,50.46,8,0.4257
21817363,chicago,Albany Park,entire home/apt,126,120,5,0.3111,38.96,49.33,97.05,57.89,8,0.4297
